input1	input2	label
The	The bear was friendly and smiled at her.	Yes
not	Lily did not like the man.	Yes
health	They laughed and took turns talking into the bell.	No
I	I want to wear it in bed.	Yes
web	It was clean and shiny.	No
someone	She went to a nearby garden and found a game.	No
supplies	They played with the copper pot all day long.	No
political	Lily and Tom are twins.	No
liked	They liked to play and hug and tell jokes.	Yes
seen	The fish could not fly, but it could swim.	No
Molly	He saw a little mouse named Molly.	Yes
enough	Soon enough, Mia felt a calmness come over her.	Yes
something	He jumps off the fence and runs away.	No
bottle	It was a big bottle of wine.	Yes
song	He played a thank you song for the cat.	Yes
can	We can teach you how to build a heart.	Yes
was	But he was warned not to eat it.	Yes
Lily	Lily had an idea.	Yes
private	He was happy.	No
loved	She loved to play outside with her toys.	Yes
again	So Jake started to jog again.	Yes
question	She removed them and gave them to Ben.	No
done	They felt sad.	No
he	Suddenly, he realized why.	Yes
black	It showed Lily a different image of herself.	No
you	And you have to wait for dinner.	Yes
Today	Today was different though.	Yes
be	And you have to be careful with them.	Yes
open	She bent down and tried to open the oyster.	Yes
time	They helped to load the branches.	No
value	Mommy watched over John as he slept, feeling very content.	No
and	Then, he gave Lila and Ben their toys back.	Yes
was	But the hill was very steep.	Yes
happy	The creature was so happy!	Yes
friends	Once upon a time, there was a boy named Timmy.	No
the	They take turns driving the train.	Yes
was	He was proud.	Yes
and	They talked and played together every day in the room.	Yes
order	They go back to their regular animals.	No
like	He did not like it.	Yes
looked	He looked scary and mean.	Yes
say	Thank you, thank you!	No
here	Now it was easier to fit the pieces together.	No
english	He couldn't wait for the next winter adventure.	No
are	He thinks they are toys.	Yes
remember	Sam kicks the ball to Ben.	No
album	His mom smiled.	No
offer	They were so pretty.	No
resources	She sees Tom on the chair.	No
playing	One day, they were playing hide and seek.	Yes
love	I love honey.	Yes
account	Mommy was in the car with her little girl, Emily.	No
golf	They will make you healthy and strong.	No
all	They were all excited and happy.	Yes
because	Molly loved to draw!	No
had	Sue had a mysterious itch on her arm.	Yes
after	She held Tommy in her arms and prayed.	No
create	It looked delicious.	No
picture	When she looked closer, she saw it was a picture!	Yes
state	They wondered what other mysteries the box had.	No
his	Timmy and his mom went back to their house.	Yes
are	They are happy and full.	Yes
smiled	She remembered this day and smiled.	Yes
and	Mum and Dad were very proud of Daisy.	Yes
drug	She had a plan.	No
methods	He had so much fun!	No
were	Jack and Sam were so sad.	Yes
sigh	They look at each other and sigh.	Yes
said	Lily said, running over to him.	Yes
upon	Once upon a time, there was a family of four.	Yes
window	He does not like his hair.	No
members	The plan worked.	No
ashamed	Tim felt ashamed.	Yes
She	She was so happy.	Yes
systems	She had a skull that she always carried around.	No
single	The bird and the mouse were happy.	No
it	Molly loved it!	Yes
felt	Ben felt cold and mad.	Yes
store	The store is big and open.	Yes
tell	But it did not.	No
inside	Suddenly, a sound came from inside the volcano.	Yes
sponsored	Sam was always obedient and Jack was not.	No
faq	They are ours!	No
quick	She makes a line and a slash.	No
new	They make new friends.	Yes
department	They used pots and pans and spoons and bowls.	No
can	The dog is big and strong.	No
rates	They cuddle together and pretend to sleep.	No
it	He felt it throughout the temple.	Yes
That's	That's my orange.	Yes
again	They never saw the mushroom or the squirrel again.	Yes
general	Molly and Sarah ran back inside.	No
his	Timmy was scared and held onto his mom's hand tightly.	Yes
and	The boy noticed the yellow bear and smiled.	Yes
whole	She worked so hard that soon the winter became warmer.	No
database	It made a big splash as it hit the water.	No
Anna	Anna does not care.	Yes
they	But Jill said no, and they started to quarrel.	Yes
white	The sky was very dark.	No
my	You can play with my clothes.	Yes
feedback	Tom put them on first.	No
each	They hopped and skipped and tickled each other.	Yes
legal	She tried harder, but still nothing.	No
He	He sits on the slide.	Yes
tiger	He saw a big tiger there.	Yes
in	He asked, with a twinkle in his eye.	Yes
videos	Yes, we can finish the puzzle together.	No
support	One day, Anna has a good idea.	No
shipping	They all sat down and enjoyed their picnic together.	No
really	He walked away.	No
She	She gave them both a hug and a sandwich.	Yes
safe	They were safe.	Yes
following	One day, children went on a safari.	No
tax	He sees the cars and the bikes.	No
using	It was so cool!	No
very	The cat was safe and Max's owner was very happy.	Yes
They	They forget about the remote.	Yes
for	It was big enough for two.	Yes
offer	They only had their ball.	No
effects	She had never seen anything like it before!	No
and	You can help us by being good and by praying.	Yes
people	They ask their mom.	No
mom	She went to her mom and told her the plan.	Yes
smiled	Bear smiled and waved goodbye to the deer.	Yes
one	Ravens are nice birds.	No
cash	He felt very proud of himself.	No
needed	They are not friends.	No
market	He would pass by lots of houses.	No
short	It was very painful and Timmy started to cry.	No
time	Everybody was eating and having a good time.	Yes
The	The girl laughed and smiled.	Yes
saw	Lily's mom came over and saw what happened.	Yes
the	As he walked to the mailbox, he felt something strange.	Yes
Anna	Anna was excited.	Yes
happy	He was happy.	Yes
forgive	They hoped Jake would forgive them.	Yes
to	Timmy loved to sing and talk into his microphone.	Yes
ever	She was very sad.	No
version	You will not whistle.	No
in	The poor rabbits were trapped in the rough cage.	Yes
level	They were friendly and asked her what her name was.	No
there	Once, there was a little bird.	Yes
cake	One day, Anna decided to make a tunnel cake.	Yes
agreement	It was made of plastic.	No
recent	He wanted to release the dove.	No
has	My dad has one like that.	Yes
under	He put it under the chimney.	Yes
advanced	Every time he shopped, he found something new and special.	No
benefits	The car driver wanted to take a look at it.	No
The	The girl was worried, but her dad wasn't worried.	Yes
electronics	Some mushrooms are good, but some are bad.	No
friday	They all came running and were very excited.	No
for	They liked to run and jump and laugh.	No
online	One day, she made some strips of paper.	No
jogged	They jogged together, buzzing with energy.	Yes
listings	But then, she realized she was lost.	No
english	Lily and Ben were playing in the park.	No
easy	Ben and Mia stop crying and smile.	No
a	Once there was a monkey named Tom.	Yes
profile	She looked for another book that she liked.	No
choose	The monster smiled and waved as she left.	No
what	Lily and Ben did not know what to do.	Yes
getting	She tells him that the dog just wanted to play.	No
jul	She saw them fighting over the book.	No
to	Molly said she wanted to fly.	Yes
see	And everyone agreed.	No
belonged	It belonged to a little boy named Jack.	Yes
where	After a while, Lily got tired and wanted to rest.	No
found	I found a match!	Yes
together	They all sang songs together.	Yes
I	I was not nice to you.	Yes
himself	Peter smiled too; he felt proud of himself.	Yes
say	He takes a picture of her with his toy camera.	No
the	He could feel the cool, silver water all around him.	Yes
points	One day, she went to the park with her mommy.	No
here	He came back from the market.	No
was	Lily was sad.	Yes
advanced	They learned a hard lesson that day.	No
truck	The truck is very loud and fast.	Yes
mar	One day, Tom and Mandy were walking through the forest.	No
excited	Her mom said yes and she was really excited.	Yes
shopping	Her daughter ran to her with a big hug.	No
had	They played and had fun.	Yes
also	Once upon a time, there was a person.	No
of	One day the kangaroo found a box of treats.	Yes
his	Tom stopped his jog and was scared.	Yes
upon	Once upon a time there was a black cow.	Yes
however	She sees Ben and his fire truck.	No
The	The flowers are pink and yellow.	Yes
give	He did not want to give them back.	Yes
updated	He grabbed her flute and ran away.	No
else	I want to play.	No
lot	Tom did not like to play with the other animals.	No
towards	He saw a big dog coming towards him.	Yes
else	So he looked around for something else.	Yes
Lily	Lily loved to paint with her bright colors.	Yes
drive	Her mom was in the kitchen, making cookies.	No
today	She wonders what lives in the hole.	No
subscribe	But her sister only laughed.	No
But	But they also wanted to run away.	Yes
girl	Once upon a time, there was a girl named Lily.	Yes
curious	She was also very curious.	Yes
fish	The fish said â€œI can help you escape!	Yes
friends	Sam and Lily were friends who liked to play outside.	Yes
Her	Her grandma had made cookies that smelled so good.	Yes
stories	The brave little girl smiled to herself.	No
the	He went to a restaurant and asked for the menu.	Yes
magazine	But be careful.	No
such	Ben likes modern things too.	No
beauty	She saw her friend, Tom.	No
copyright	They played together every day and had lots of fun.	No
server	Tim and Kim are scared.	No
great	She did not like the car.	No
yellow	They both wanted the elephant.	No
must	Anna and Ben are sad and angry.	No
case	The dog was barking and wagging its tail.	No
worried	He is surprised and worried.	Yes
oct	They felt sad and wished they had not traded.	No
for	He worked hard to make the best smiles for everyone.	Yes
the	And that's how the small kiss made an enormous difference.	Yes
party	It was red and round.	No
travel	They held hands and climbed up the branch.	No
movie	He heard the door open and his sister came home.	No
the	He picked up his shovel and hit the castle.	Yes
board	She did not know which fruit was a peach.	No
skin	I did not have a drum skin.	Yes
very	She was very gentle and cared for him.	Yes
availability	Then they decided to play catch one more time.	No
they	She wants to pick one, but they are too high.	Yes
can	She sprayed the can all around the kitchen in circles.	Yes
word	Mia saw a big hill with a lot of flowers.	No
bow	One day, he found a bow and arrow.	Yes
industry	His friends thought that was a great idea.	No
sign	He pushes Lily away.	No
look	Lily and Ben hug each other.	No
couldn't	He couldn't believe how wonderful it smelled.	Yes
california	Jane was happy that her cooler was safe.	No
said	Timmy was nervous, but he said yes.	Yes
Sue	When Fluffy found Sue, she would meow loudly.	Yes
quote	Tom and Mia felt bad.	No
past	She said the bear was bad and dangerous.	No
not	He did not know who it was.	Yes
the	But his favorite thing to make was a little igloo.	No
database	They learned a lesson.	No
it	Finally, Uncle Barry made it across town.	Yes
He	He feels the wind on his face and laughs.	Yes
and	Some children had a ball and others had a kite.	Yes
reason	He was recording the movie for a good reason.	Yes
major	Lily's mom came into the room and saw what happened.	No
and	But Lily didn't listen and kept chasing the butterfly.	Yes
caterpillar	Once there was a caterpillar who wanted to measure things.	Yes
david	She was very happy with it.	No
study	Once there was a fine little girl named Sarah.	No
across	Suddenly, it broke and the boy fell off.	No
store	The grandma was very happy and thanked the store owner.	Yes
germany	The swan was shy and hid behind some reeds.	No
item	Then, he got a bright idea.	No
