input1	input2	input3	label
p	z	jdpmvhz	jdzmvhp
h	f	xshwf	xsfwh
h	z	qjzhswvd	qjhzswvd
v	h	hwvnp	vwhnp
q	g	qgns	gqns
h	z	tzhrsdpg	thzrsdpg
v	p	pbqwhv	vbqwhp
b	g	bzlsvfg	gzlsvfb
k	v	twmvk	twmkv
r	j	rjtf	jrtf
h	n	wcmhn	wcmnh
n	h	nblh	hbln
k	d	qzjkfwdsxpl	qzjdfwksxpl
r	p	xhfwzpr	xhfwzrp
v	c	vczqmx	cvzqmx
p	s	wsfcp	wpfcs
t	s	sxtm	txsm
n	l	nbcrwzpl	lbcrwzpn
d	x	sdchbwx	sxchbwd
h	x	xghd	hgxd
h	k	kbtlhq	hbtlkq
g	n	wnvg	wgvn
z	c	pczts	pzcts
z	w	sjqvwz	sjqvzw
g	w	qwjzpnxcg	qgjzpnxcw
k	q	rxkvq	rxqvk
r	t	bqztr	bqzrt
m	h	zghm	zgmh
r	f	xrtnf	xftnr
n	h	sjnwzhbrx	sjhwznbrx
v	q	plvqzx	plqvzx
x	m	hstmxl	hstxml
r	t	tchprn	rchptn
m	f	pgfjlqmc	pgmjlqfc
j	g	xprdvjhgk	xprdvghjk
c	l	zklvwc	zkcvwl
c	x	pxhzbrtc	pchzbrtx
h	l	lfhpqrkx	hflpqrkx
d	f	fzmpcdvl	dzmpcfvl
p	b	qlbnpx	qlpnbx
f	l	dpckflths	dpcklfths
h	w	xwhs	xhws
n	z	qmnlzdx	qmzlndx
j	z	jpfz	zpfj
n	p	bnqzmp	bpqzmn
x	q	fmtqhrvx	fmtxhrvq
h	v	gvlhc	ghlvc
m	p	cpdmj	cmdpj
n	g	glpnv	nlpgv
r	k	hlfwmrk	hlfwmkr
r	v	vrgwt	rvgwt
l	v	czlv	czvl
x	n	xgmstnkrh	ngmstxkrh
p	c	qcph	qpch
m	g	mbqg	gbqm
v	m	vnkwm	mnkwv
x	w	xwhkfrlj	wxhkfrlj
s	g	bzvmgs	bzvmsg
g	r	mwdgsxr	mwdrsxg
g	v	gdcjkrv	vdcjkrg
b	j	twchdsjb	twchdsbj
q	t	qwlfhtkjp	twlfhqkjp
f	v	vhf	fhv
w	f	fwk	wfk
k	c	cmjkzl	kmjczl
m	h	sbwtnfmhl	sbwtnfhml
m	k	xqkhwvmg	xqmhwvkg
s	b	xzbdsqgvw	xzsdbqgvw
d	n	vdncfrt	vndcfrt
k	g	gzkm	kzgm
d	r	drcj	rdcj
x	w	vhxdwqcjsmnlb	vhwdxqcjsmnlb
s	h	thprsdc	tsprhdc
r	n	nhrmf	rhnmf
b	v	gbvtwl	gvbtwl
q	j	gjnbqpw	gqnbjpw
w	x	dkxcw	dkwcx
f	v	fmwvd	vmwfd
k	n	rncpk	rkcpn
f	j	fmdvj	jmdvf
p	r	pfrjq	rfpjq
b	p	lbpg	lpbg
g	v	dgnzvx	dvnzgx
q	k	qwfbhk	kwfbhq
l	t	pvshblzgntmw	pvshbtzgnlmw
w	h	swdrth	shdrtw
t	z	nblwtrz	nblwzrt
r	g	rbgp	gbrp
c	v	cvwn	vcwn
l	z	svlztm	svzltm
h	r	rbhqk	hbrqk
w	f	wgfptm	fgwptm
s	t	wtks	wskt
s	l	dxlhsp	dxshlp
b	s	zbqxshpt	zsqxbhpt
w	x	jwxfstgq	jxwfstgq
l	v	vlzd	lvzd
n	s	gsktqnfp	gnktqsfp
p	j	jptg	pjtg
v	x	xntv	vntx
q	h	svqphdr	svhpqdr
b	n	wbtcnz	wntcbz
v	n	kbnvw	kbvnw
s	l	wfls	wfsl
x	k	xkzgvmtclq	kxzgvmtclq
s	q	vwsgqcx	vwqgscx
g	d	bdg	bgd
z	t	gxdzt	gxdtz
m	q	qvtfbnmdhj	mvtfbnqdhj
h	b	gpmhbwf	gpmbhwf
w	b	vtbczwgl	vtwczbgl
h	k	kcvh	hcvk
d	w	wcmrdlx	dcmrwlx
m	n	mjtsnv	njtsmv
d	x	fdxq	fxdq
f	g	mfltg	mgltf
v	r	fdrgmqvc	fdvgmqrc
z	s	dmzs	dmsz
t	h	gxmhptnd	gxmtphnd
g	m	gwmlhdx	mwglhdx
v	k	tbzlvwxkqcrhnj	tbzlkwxvqcrhnj
z	d	zld	dlz
d	b	lczxfdnbv	lczxfbndv
q	r	tsrzq	tsqzr
c	n	xmhnc	xmhcn
k	n	gqnhkb	gqkhnb
k	g	grk	krg
t	z	mvztn	mvtzn
z	c	ldcqzx	ldzqcx
f	c	wrtbfgcj	wrtbcgfj
c	z	zcdqn	czdqn
p	t	thpj	phtj
b	v	cxqhtbdvg	cxqhtvdbg
z	q	zmqtx	qmztx
v	p	khnqgdsvpw	khnqgdspvw
g	m	xknmvqzg	xkngvqzm
j	x	hxqjrz	hjqxrz
q	l	lckfdnqv	qckfdnlv
c	x	zpxncv	zpcnxv
k	s	xfkscj	xfskcj
t	l	wmtlx	wmltx
h	t	ntkhlfm	nhktlfm
c	n	vlcn	vlnc
g	x	gxmpvjtn	xgmpvjtn
r	g	bhgnrkz	bhrngkz
z	j	tzfmjdqpg	tjfmzdqpg
z	c	cbtvzlhqx	zbtvclhqx
f	k	kqcrzfs	fqcrzks
