input1	input2	input3	label
x	v	ftnqxvjwsp	ftnqxvxjwsp
j	j	jhvtxkplsn	jjhvtxkplsn
r	p	phsqt	prhsqt
c	f	zhlpxf	zhlpxfc
l	x	fbzx	fbzxl
l	v	dvzsj	dvlzsj
q	h	qgvxzbjchdn	qgvxzbjchqdn
b	f	jhcmfdbw	jhcmfbdbw
g	x	bzsxnr	bzsxgnr
s	p	bkrgxpcns	bkrgxpscns
i	f	dkbptflhqz	dkbptfilhqz
r	z	gpxnzmkb	gpxnzrmkb
d	c	zljcmn	zljcdmn
z	m	npxjwgmds	npxjwgmzds
e	t	lmsxzvwt	lmsxzvwte
k	n	sknxh	sknkxh
o	r	glprdc	glprodc
l	s	bps	bpsl
i	w	mgwp	mgwip
r	k	dnfvqgkzc	dnfvqgkrzc
o	g	dgltbxpzkwnv	dgoltbxpzkwnv
m	m	wnmt	wnmmt
p	g	rwsgtdzmlv	rwsgptdzmlv
s	v	xrwvb	xrwvsb
m	d	dxfl	dmxfl
h	t	stxqbcz	sthxqbcz
z	c	hrwclp	hrwczlp
b	q	pqfdcvh	pqbfdcvh
l	d	nwdtfhz	nwdltfhz
u	r	nvmwr	nvmwru
r	l	mkqjtlxbds	mkqjtlrxbds
h	j	lvkntjzd	lvkntjhzd
i	d	nkdr	nkdir
w	l	sgnl	sgnlw
t	c	xrcfml	xrctfml
t	c	xcmvzns	xctmvzns
t	h	drsmh	drsmht
j	q	qsbvcdgx	qjsbvcdgx
x	h	lqfhw	lqfhxw
x	h	dgwh	dgwhx
w	k	kptjsdnl	kwptjsdnl
f	n	cmsjnl	cmsjnfl
d	b	jhstfbg	jhstfbdg
v	z	nqszk	nqszvk
x	j	rkjb	rkjxb
e	b	zxbtg	zxbetg
l	m	qnmk	qnmlk
v	f	mbdtgkhrwfq	mbdtgkhrwfvq
o	r	vpbwfdr	vpbwfdro
x	t	tlpbxr	txlpbxr
d	r	zchrx	zchrdx
u	h	jhmc	jhumc
l	w	hqfmdwpv	hqfmdwlpv
r	p	rbnvpkg	rbnvprkg
p	d	zqdw	zqdpw
u	m	vmrctk	vmurctk
t	q	qrvc	qtrvc
l	j	mwljf	mwljlf
f	x	pvxhns	pvxfhns
u	g	mzpcfgjwx	mzpcfgujwx
w	s	vnshk	vnswhk
n	z	tczxl	tcznxl
a	q	qktl	qaktl
m	r	tnpsr	tnpsrm
o	q	fbkdsmqjz	fbkdsmqojz
o	p	mpbnzg	mpobnzg
k	b	bfmlgs	bkfmlgs
e	p	mpsvdt	mpesvdt
e	l	gvljkhsr	gvlejkhsr
w	n	lsdcjzqnr	lsdcjzqnwr
v	h	pcfhlm	pcfhvlm
e	x	dwpxsrnk	dwpxesrnk
g	p	zdfptkgc	zdfpgtkgc
r	p	vcpqgmdr	vcprqgmdr
i	p	fbrjpl	fbrjpil
i	s	wgnmbpjcs	wgnmbpjcsi
y	s	stfj	sytfj
w	p	xnplbsw	xnpwlbsw
t	w	lnwx	lnwtx
i	c	vctzpf	vcitzpf
f	r	kvlqtbpr	kvlqtbprf
r	m	ngmkw	ngmrkw
f	h	qcwhm	qcwhfm
p	b	rpvsb	rpvsbp
d	l	tfwlvbk	tfwldvbk
l	p	jgspl	jgspll
n	b	jpbf	jpbnf
y	g	kgdhzfrmx	kgydhzfrmx
e	c	cjfw	cejfw
z	x	xfgm	xzfgm
o	v	bnzwv	bnzwvo
b	l	tlbvpsmc	tlbbvpsmc
y	k	kcdhsv	kycdhsv
z	f	fnbwmqh	fznbwmqh
m	p	njrfwsp	njrfwspm
n	j	znpdxwmj	znpdxwmjn
r	x	hndzkmxlb	hndzkmxrlb
q	g	bgz	bgqz
s	b	rhb	rhbs
m	d	pkvqdf	pkvqdmf
k	c	cdkgmnlrw	ckdkgmnlrw
w	p	mpcfdlbs	mpwcfdlbs
c	k	qlvjhxzkb	qlvjhxzkcb
r	q	dpkqtxb	dpkqrtxb
y	d	kjdh	kjdyh
k	p	xjnp	xjnpk
v	f	lqbjvmpksftcw	lqbjvmpksfvtcw
n	l	mrcvjsl	mrcvjsln
i	x	qkxwj	qkxiwj
n	r	fsrqgm	fsrnqgm
p	c	tfjqdxc	tfjqdxcp
m	h	hdvsg	hmdvsg
s	g	mpgqw	mpgsqw
g	z	zpwlk	zgpwlk
o	w	fhskw	fhskwo
g	x	xlbqw	xglbqw
w	s	srnj	swrnj
y	h	gmhxcv	gmhyxcv
u	v	dksvrz	dksvurz
w	f	pkdnqrglfhmv	pkdnqrglfwhmv
u	t	fsxqtc	fsxqtuc
r	l	plnktsd	plrnktsd
q	z	tzwp	tzqwp
v	k	mbkg	mbkvg
a	r	tjphgr	tjphgra
b	h	jhxsb	jhbxsb
s	p	sjvprf	sjvpsrf
q	r	qxbr	qxbrq
l	l	wrlcpb	wrllcpb
y	w	wxvdshmc	wyxvdshmc
d	q	jrmptbqk	jrmptbqdk
d	c	fcbk	fcdbk
s	q	lfbkstqn	lfbkstqsn
i	g	gfrx	gifrx
x	r	rkzt	rxkzt
u	t	dksmntg	dksmntug
h	c	vcqjxr	vchqjxr
p	x	mdzxl	mdzxpl
c	m	vmzx	vmczx
g	w	gvcswjhdqb	gvcswgjhdqb
p	x	bvcjhlx	bvcjhlxp
w	k	krn	kwrn
s	t	ptrxq	ptsrxq
z	v	zvqgtwrkmp	zvzqgtwrkmp
a	d	dfqbzwh	dafqbzwh
k	q	hcdgplqt	hcdgplqkt
d	f	fsqc	fdsqc
a	j	pjcmrsw	pjacmrsw
w	c	slmcjf	slmcwjf
o	c	dhsc	dhsco
g	p	pkzwh	pgkzwh
x	j	jvchpkbx	jxvchpkbx
f	k	kfzc	kffzc
a	w	wctspvbk	wactspvbk
k	b	shbfwxq	shbkfwxq
u	c	cmjrzfbdpkwhxv	cumjrzfbdpkwhxv
s	r	rlg	rslg
o	l	nhmlksjgp	nhmloksjgp
o	k	hzkpn	hzkopn
s	p	dgphs	dgpshs
n	h	fklhbg	fklhnbg
g	j	bwj	bwjg
j	g	kbdwg	kbdwgj
d	w	nvwszh	nvwdszh
j	d	jdmspqvl	jdjmspqvl
n	v	vnbrc	vnnbrc
v	p	gspz	gspvz
q	r	pqhlfjnrs	pqhlfjnrqs
u	r	srdkj	srudkj
f	j	sqplbzhtjw	sqplbzhtjfw
n	s	kgxpntsz	kgxpntsnz
f	s	lpjswh	lpjsfwh
x	s	csdgrxmp	csxdgrxmp
s	c	xmcnkl	xmcsnkl
m	c	ctfdwk	cmtfdwk
h	s	rtsmn	rtshmn
t	k	txzkwgv	txzktwgv
c	b	xbwl	xbcwl
z	c	qknjgpbc	qknjgpbcz
e	q	wgqdbpt	wgqedbpt
z	t	qkgptnlxb	qkgptznlxb
o	v	lhrnmwqvk	lhrnmwqvok
j	x	gxhmbzj	gxjhmbzj
