input1	input2	input3	label
s	y	lmqsb	lmqyb
b	n	pbgn	pngn
s	a	stncz	atncz
b	j	mlxb	mlxj
m	y	xndczbkprvm	xndczbkprvy
h	s	fhnrvdp	fsnrvdp
p	n	cjhntp	cjhntn
s	d	swkpt	dwkpt
g	v	gkxw	vkxw
r	j	kmvxdrhf	kmvxdjhf
b	p	pnlfhbz	pnlfhpz
r	h	smdr	smdh
b	v	fxpwcb	fxpwcv
w	i	mpfw	mpfi
x	j	xrjgv	jrjgv
l	c	hftklq	hftkcq
x	v	xshwvzgrt	vshwvzgrt
l	e	flqkb	feqkb
t	l	cwstj	cwslj
c	w	mbcj	mbwj
h	x	clhqp	clxqp
q	s	vnbdqxmgs	vnbdsxmgs
s	s	xhnlsz	xhnlsz
v	b	nvxjzq	nbxjzq
d	a	xhqfdc	xhqfac
g	a	zfjgbkqp	zfjabkqp
g	e	jqdwgsmlp	jqdwesmlp
x	y	hwvkjx	hwvkjy
b	a	drhtqplb	drhtqpla
h	m	sdvhcbzw	sdvmcbzw
p	p	fwhmzxdp	fwhmzxdp
j	t	vnpghj	vnpght
z	t	rzlxnhgwq	rtlxnhgwq
g	g	qcvg	qcvg
j	e	tlhjnqr	tlhenqr
j	i	jlrt	ilrt
c	t	fwcshv	fwtshv
h	c	bfjmcnhp	bfjmcncp
b	p	lzxbr	lzxpr
k	c	mwrkx	mwrcx
f	h	phfqn	phhqn
f	d	cvrjfnb	cvrjdnb
h	j	gzqhj	gzqjj
g	l	ghnv	lhnv
p	g	bzdksvpxt	bzdksvgxt
w	a	wgvr	agvr
t	f	tvzx	fvzx
n	s	nlsrf	slsrf
q	z	cjnfhqxw	cjnfhzxw
q	g	bwdkqf	bwdkgf
m	f	vlnrxmk	vlnrxfk
l	x	lgpvrqh	xgpvrqh
g	l	slhdtrxg	slhdtrxl
j	p	kldsbxtjn	kldsbxtpn
n	u	nzs	uzs
k	q	pkn	pqn
d	x	hbfmdv	hbfmxv
j	b	wdbzxljpr	wdbzxlbpr
j	e	xhwvdjnq	xhwvdenq
n	o	mjfgktsbn	mjfgktsbo
m	p	dhbmctn	dhbpctn
k	g	bgdk	bgdg
h	b	tglh	tglb
v	y	jmngfxhbqvcwr	jmngfxhbqycwr
g	l	xpwfgqj	xpwflqj
b	t	mbtrg	mttrg
v	l	vqpmzx	lqpmzx
d	h	cvgmdtw	cvgmhtw
d	x	kdfqz	kxfqz
z	q	xhzmr	xhqmr
b	m	shrjb	shrjm
r	s	vkqbr	vkqbs
j	m	tjnmr	tmnmr
p	e	qplg	qelg
w	g	zxktwf	zxktgf
f	v	dbqfps	dbqvps
l	e	hbdlmpzjvkxf	hbdempzjvkxf
w	v	vqtmcw	vqtmcv
d	p	hjlbcqd	hjlbcqp
s	u	csrh	curh
x	y	xnbz	ynbz
h	w	cghkzp	cgwkzp
t	z	gktqn	gkzqn
v	q	qgfhpv	qgfhpq
t	u	mtnp	munp
n	j	rpjwhn	rpjwhj
r	g	rtfdqkxw	gtfdqkxw
g	d	gpxhcnmb	dpxhcnmb
w	d	vwnb	vdnb
n	q	jvnbqcml	jvqbqcml
v	t	zvpt	ztpt
s	n	pbsc	pbnc
c	v	dbqxlcz	dbqxlvz
p	k	fwmgtp	fwmgtk
d	h	xdstj	xhstj
f	o	fxst	oxst
r	m	zfwqrgkdmn	zfwqmgkdmn
w	h	nfwgkjt	nfhgkjt
b	e	bpl	epl
p	q	hcptm	hcqtm
f	f	sfmzcrpbxh	sfmzcrpbxh
s	w	dvmnsrk	dvmnwrk
k	b	kwdzhjmc	bwdzhjmc
v	d	vqmw	dqmw
g	w	hgwxpqr	hwwxpqr
v	e	qjxwgv	qjxwge
d	s	dkqw	skqw
h	m	hbsrk	mbsrk
g	n	gfwkhbnt	nfwkhbnt
w	c	bvsw	bvsc
r	w	rwcqhfnb	wwcqhfnb
n	b	qknvrtm	qkbvrtm
b	v	wxgpsvndhbrktf	wxgpsvndhvrktf
p	q	pjz	qjz
q	s	lkxjbqgzh	lkxjbsgzh
l	s	ksbhl	ksbhs
h	q	dzhkq	dzqkq
j	l	vbjknz	vblknz
r	m	nrg	nmg
b	r	bndrz	rndrz
s	d	lfrqsk	lfrqdk
x	r	gdxqhmfj	gdrqhmfj
f	l	flnpw	llnpw
s	y	zqhs	zqhy
h	u	hmkjvglpq	umkjvglpq
b	v	qpdbg	qpdvg
m	c	qmhjnskcgr	qchjnskcgr
c	l	bzthlcqs	bzthllqs
k	c	jhgqrk	jhgqrc
w	n	wqdzptxh	nqdzptxh
j	q	txwlbj	txwlbq
d	x	wcvdrb	wcvxrb
p	k	pcqxl	kcqxl
z	i	ctsbrzf	ctsbrif
t	o	tnrj	onrj
b	f	mblgzhnw	mflgzhnw
m	a	rzmdnhc	rzadnhc
j	f	mbzhcljtn	mbzhclftn
x	s	jkplxrmfb	jkplsrmfb
x	r	ztkxnsg	ztkrnsg
